School Name,School Type,Address,City,Zipcode,County,Ex_Rel,Ex_Med,Ex_Tot
James J. Curiale,Public,300 Laurel Ave,Bridgeport,6605,Fairfield,0.0,0.0,0.0
John Winthrop,Public,85 Eckart Street,Bridgeport,6606,Fairfield,1.9,0.0,1.9
Luis Munoz Marin School,Public,479 Helen Street,Bridgeport,6608,Fairfield,0.3,0.0,0.3
Multicultural Magnet School,Public,700 Palisade Avenue,Bridgeport,6610,Fairfield,0.5,0.5,1.0
New Beginnings Family Academy,Public,184 Garden St,Bridgeport,6605,Fairfield,1.0,0.0,1.0
P.L. Dunbar,Public,445 Union Avenue,Bridgeport,6607,Fairfield,0.0,1.9,1.9
Park City Magnet,Public,1526 Chopsey Hill Road,Bridgeport,6606,Fairfield,0.0,0.0,0.0
Read School,Public,130 Ezra Street,Bridgeport,6606,Fairfield,0.0,0.0,0.0
Roosevelt,Public,680 Park Ave.,Bridgeport,6604,Fairfield,0.2,0.4,0.6
Six To Six Magnet School,Public,601 Pearl Harbor Sstreet,Bridgeport,6611,Fairfield,2.4,0.4,2.8
Skane,Public,2977 Madison Avenue,Bridgeport,6606,Fairfield,0.0,0.5,0.5
St Augustine Academy,Non-public,63 Pequonock St,Bridgeport,6604,Fairfield,0.5,0.0,0.5
St. Andrews,Non-public,395 Anton St,Bridgeport,6606,Fairfield,1.2,0.0,1.2
St. Raphael Academy,Non-public,324 Frank Street,Bridgeport,6605,Fairfield,0.0,0.4,0.4
Tisdale School,Public,250 Hollister Ave,Bridgeport,6607,Fairfield,0.0,0.0,0.0
Waltersville School,Public,150 Hallett Street,Bridgeport,6608,Fairfield,0.2,1.6,1.8
Warren Harding High School,Public,379 Bond Street,Bridgeport,6610,Fairfield,0.4,0.1,0.5
Wilbur Cross Elementary School,Public,1775 Reservoir Avenue,Bridgeport,6606,Fairfield,0.3,0.3,0.7
Barnum School,Public,495 Waterview Avenue,Bridgeport,6608,Fairfield,0.2,0.0,0.2
Black Rock,Public,545 Brewster St,Bridgeport,6605,Fairfield,1.6,1.4,2.9
Blackham Elementary School,Public,425 Thorme Street,Bridgeport,6606,Fairfield,0.9,0.1,1.0
Discovery Magnet,Public,4510 Park Ave,Bridgeport,6604,Fairfield,0.8,0.2,1.0
Hall,Public,290 Clermont Ave,Bridgeport,6610,Fairfield,0.5,0.0,0.5
Madison Elementary,Public,376 Wayne St,Bridgeport,6606,Fairfield,0.0,0.0,0.0
St Anns Academy,Non-public,521 Brewster St,Bridgeport,6605,Fairfield,0.4,0.0,0.4
Thomas Hooker,Public,138 Roger Williams Road,Bridgeport,6610,Fairfield,0.4,0.0,0.4
Burnham School,Public,80 Main Street,Bridgewater,6752,Litchfield,15.3,0.0,15.3
Bristol Arts And Innovation Magnet School,Public,70 Memorial Boulevard,Bristol,6010,Hartford,0.8,0.0,0.8
Bristol Central High School,Public,480 Wolcott Street,Bristol,6010,Hartford,0.4,0.0,0.4
Bristol Early Childhood Center,Public,240 Stafford Avenue,Bristol,6010,Hartford,0.0,0.0,0.0
Bristol Eastern High School,Public,632 King Street,Bristol,6010,Hartford,0.5,0.2,0.7
Bristol Preparatory Academy,Public,210 Redstone Hill Rd,Bristol,6010,Hartford,0.0,0.0,0.0
Chippens Hill Middle School,Public,551 Peacedale Street,Bristol,6010,Hartford,0.7,0.0,0.7
Destination Program (Bristol Eastern High School),Public,632 King St,Bristol,6010,Hartford,0.0,0.0,0.0
